alg,p,len,N,OK,CORR,DISC,EntregaCorrecta(%),Descartes(%),archivo
CRC,0.01,8,10000,3741,0,6259,37.41,62.59,crc_p0.01_len8.csv
HAM,0.0,16,10000,10000,0,0,100.0,0.0,ham_p0.00_len16.csv
CRC,0.02,16,10000,384,0,9616,3.84,96.16,crc_p0.02_len16.csv
HAM,0.01,8,10000,4885,4782,333,96.67,3.33,ham_p0.01_len8.csv
CRC,0.0,8,10000,10000,0,0,100.0,0.0,crc_p0.00_len8.csv
HAM,0.02,16,10000,675,7992,1333,86.67,13.33,ham_p0.02_len16.csv
CRC,0.0,16,10000,10000,0,0,100.0,0.0,crc_p0.00_len16.csv
CRC,0.01,16,10000,1989,0,8011,19.89,80.11,crc_p0.01_len16.csv
HAM,0.0,8,10000,10000,0,0,100.0,0.0,ham_p0.00_len8.csv
HAM,0.02,8,10000,2308,6747,945,90.55,9.45,ham_p0.02_len8.csv
CRC,0.02,8,10000,1398,0,8602,13.98,86.02,crc_p0.02_len8.csv
HAM,0.01,16,10000,2569,6869,562,94.38,5.62,ham_p0.01_len16.csv
